customer_id,age,gender,subscription_length_months,monthly_charge,total_charges,contract_type,payment_method,paperless_billing,tech_support,online_security,online_backup,device_protection,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,internet_service_type,phone_service,multiple_lines,internet_service,avg_monthly_gb_download,avg_monthly_gb_download_6_months,avg_monthly_gb_download_12_months,monthly_usage_gb,overage_fees,roaming_charges,international_plan,voice_mail_plan,number_vmail_messages,number_customer_service_calls,number_calls_placed,number_calls_received,total_minutes_used,total_data_used_gb,avg_call_duration_minutes,avg_call_duration_6_months,avg_call_duration_12_months,payment_delay_days,late_payment_count,missed_payment_count,contract_renewal_days,days_since_last_upgrade,days_since_last_downgrade,days_since_last_complaint,complaint_count,positive_feedback_count,negative_feedback_count,social_media_mentions,satisfaction_score,churn
19,41,M,59,32.44,3220.36,Two year,Credit card,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Fiber optic,No,No,Yes,179.1,174.8,24.5,480.0,44.54,7.24,No,Yes,9,2,89,9,1490,95.1,19.2,13.7,9.5,12,1,2,236,211,75,30,7,3,4,2,10,No
20,20,F,42,23.07,4895.96,Month-to-month,Electronic check,No,No,No,Yes,Yes,No,Yes,No,No,No,DSL,No,Yes,Yes,138.4,177.5,192.6,23.0,2.05,18.71,Yes,Yes,25,11,83,86,803,89.9,8.8,5.5,15.8,12,1,0,341,268,90,78,2,2,4,4,2,Yes
21,39,F,39,103.46,3037.29,Two year,Bank transfer,Yes,No,No,No,No,No,No,Yes,No,Yes,Fiber optic,No,No,Yes,24.3,2.2,24.6,1269.0,3.58,17.25,No,Yes,14,14,30,23,868,15.8,16.6,9.4,14.5,20,3,2,411,295,141,2,6,2,2,9,3,Yes
22,70,M,17,98.92,1821.18,One year,Electronic check,No,Yes,No,No,Yes,Yes,No,No,No,Yes,DSL,Yes,No,No,13.0,177.3,51.0,412.0,16.25,5.71,Yes,No,37,19,71,99,2314,91.4,11.3,13.0,12.5,22,1,2,325,20,87,46,0,3,3,3,4,Yes
23,19,M,14,91.07,3256.7,Two year,Electronic check,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Fiber optic,Yes,Yes,Yes,195.0,54.3,162.7,482.0,11.64,3.14,No,No,40,7,62,57,1818,87.8,10.7,13.1,18.8,17,1,1,431,214,81,14,4,0,1,6,6,Yes
24,41,M,31,50.15,658.46,Two year,Credit card,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,DSL,Yes,Yes,Yes,136.2,7.8,123.7,231.0,13.25,8.98,No,Yes,41,11,86,68,1,37.7,2.0,16.0,9.0,24,4,2,151,424,16,50,1,2,2,4,1,Yes
25,61,M,24,70.82,4448.86,Two year,Bank transfer,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,DSL,Yes,No,No,83.5,169.6,167.6,615.0,11.06,7.12,Yes,Yes,48,12,49,63,21,39.5,11.9,6.5,16.4,24,4,2,780,188,72,81,7,0,4,1,6,No
26,47,F,35,97.28,2540.27,Two year,Credit card,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,DSL,Yes,No,No,140.3,172.8,103.1,2146.0,9.79,13.64,No,Yes,0,14,88,18,2625,46.0,18.1,15.6,8.2,28,0,2,135,160,174,84,5,1,4,2,4,No
27,55,M,44,84.58,2274.28,Two year,Bank transfer,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,DSL,No,No,Yes,151.3,119.2,75.4,2427.0,6.53,19.33,No,No,13,10,0,7,2259,65.6,15.8,9.4,16.9,8,0,0,820,200,55,73,4,0,1,7,8,No
28,19,M,45,148.41,2950.03,Month-to-month,Credit card,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Fiber optic,Yes,Yes,Yes,156.0,114.9,184.4,1358.0,46.7,7.26,Yes,No,35,16,81,70,1903,26.1,15.9,13.7,5.9,12,1,0,1089,28,126,20,2,3,0,2,9,Yes
29,77,M,34,37.74,3142.68,Month-to-month,Electronic check,Yes,No,No,No,Yes,Yes,No,No,No,Yes,DSL,No,No,Yes,95.6,162.6,7.3,1520.0,7.21,1.24,Yes,No,30,11,18,39,2576,2.3,4.0,9.7,6.5,12,2,1,101,380,52,89,0,4,2,6,8,Yes
30,38,M,3,110.37,405.29,Month-to-month,Credit card,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,DSL,No,No,No,86.0,157.3,171.2,98.0,10.22,17.95,No,No,27,19,63,12,2435,14.1,7.8,19.0,13.9,4,0,0,597,243,127,40,9,3,3,4,8,Yes
31,50,M,37,72.56,3428.96,One year,Bank transfer,No,No,Yes,No,No,No,No,Yes,Yes,No,DSL,No,No,No,2.2,178.0,46.2,208.0,12.31,0.76,Yes,No,33,17,52,26,13,44.0,5.4,4.4,5.0,29,1,0,105,182,145,2,9,1,1,6,2,Yes
32,29,M,43,75.67,1247.56,Two year,Bank transfer,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,DSL,No,No,Yes,185.3,110.5,169.7,773.0,46.65,19.06,Yes,No,34,15,5,81,518,28.2,7.0,13.8,5.4,25,4,0,751,31,196,0,9,0,1,9,10,Yes
33,75,F,40,113.29,3584.07,Month-to-month,Electronic check,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,DSL,No,Yes,No,120.7,193.5,27.8,1632.0,37.79,13.29,No,Yes,38,2,16,87,1935,76.5,12.0,12.0,6.8,11,3,0,1039,266,47,20,9,2,2,8,2,Yes
34,39,F,26,110.02,4121.55,One year,Bank transfer,No,No,No,No,Yes,No,Yes,No,Yes,No,Fiber optic,Yes,Yes,Yes,40.6,199.2,116.0,2219.0,39.48,18.83,Yes,No,22,8,45,1,615,10.7,7.9,4.3,13.9,24,4,1,257,435,136,74,7,3,4,6,6,Yes
35,78,M,55,148.86,4029.59,Month-to-month,Credit card,No,No,No,No,No,Yes,Yes,No,Yes,Yes,DSL,Yes,Yes,Yes,183.9,23.3,177.6,1815.0,5.24,3.99,No,Yes,45,6,71,15,961,91.7,11.7,2.3,17.9,0,4,2,482,35,53,79,4,2,4,5,5,Yes
36,61,M,23,36.69,2784.88,Month-to-month,Electronic check,No,No,No,Yes,No,Yes,No,No,No,No,Fiber optic,Yes,No,No,183.0,169.9,94.7,1176.0,41.82,0.81,Yes,Yes,43,18,72,13,2450,89.5,9.3,16.2,13.8,17,3,2,795,92,162,98,8,0,3,0,6,Yes
37,42,M,44,33.53,2624.84,Two year,Bank transfer,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Fiber optic,No,No,Yes,197.8,100.0,149.3,355.0,20.41,9.76,No,No,18,4,54,16,286,90.9,6.4,4.0,16.7,25,4,2,516,367,173,20,6,1,2,3,9,No
38,66,F,39,114.16,757.24,One year,Bank transfer,Yes,Yes,No,No,No,No,No,Yes,Yes,No,DSL,No,No,Yes,174.8,77.5,160.9,2342.0,13.14,9.01,No,No,17,18,90,59,2431,74.0,2.8,4.5,11.3,20,0,1,697,158,0,74,0,3,1,7,10,No
39,44,M,15,95.19,3887.96,Two year,Credit card,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,DSL,No,Yes,No,199.6,122.6,147.3,1091.0,28.79,6.63,No,No,14,9,99,69,1923,10.7,17.9,19.6,2.3,20,4,0,859,397,40,94,0,2,2,0,7,Yes
40,76,F,56,55.64,1393.48,Two year,Credit card,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,48.9,11.2,185.1,2208.0,41.11,19.15,Yes,No,0,19,5,98,1114,43.8,1.2,14.6,2.9,21,3,1,820,446,72,48,6,3,0,5,5,Yes
41,59,M,49,30.32,2508.64,Month-to-month,Electronic check,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Fiber optic,No,Yes,Yes,168.4,101.3,89.4,1539.0,38.93,16.45,No,No,24,11,69,16,825,13.1,1.0,5.8,11.5,29,1,1,1000,179,159,64,6,3,1,1,10,Yes
42,45,M,4,31.14,1457.16,Two year,Bank transfer,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Fiber optic,No,Yes,No,164.6,174.2,34.6,2216.0,44.5,13.23,Yes,No,25,7,67,44,2359,98.8,16.7,12.2,7.2,23,1,1,519,437,76,40,8,2,3,8,7,No
43,77,M,29,136.24,712.45,One year,Credit card,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,DSL,Yes,No,Yes,46.2,42.7,9.6,2722.0,46.41,3.26,No,No,34,2,85,37,2773,33.3,19.9,11.1,5.2,27,1,2,405,372,39,95,1,1,3,7,8,No
44,33,M,22,44.94,3166.31,Two year,Electronic check,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Fiber optic,No,Yes,Yes,19.7,85.3,49.3,2763.0,11.91,14.69,No,No,14,18,39,63,2090,58.5,14.8,17.0,9.9,16,3,0,260,305,138,66,6,3,1,8,1,Yes
45,32,F,25,62.04,318.94,Two year,Bank transfer,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,195.9,187.9,28.6,1605.0,21.19,14.54,No,Yes,3,10,90,5,1097,77.9,1.3,14.9,13.7,9,3,2,731,472,189,95,1,1,4,8,10,No
46,79,F,13,49.47,3755.79,Two year,Bank transfer,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,DSL,Yes,No,No,59.2,85.7,111.6,1535.0,0.73,8.5,Yes,Yes,14,7,65,59,2801,92.1,5.3,16.8,8.3,27,0,1,504,378,173,41,9,1,1,1,7,No
47,79,M,18,66.15,1622.05,Month-to-month,Electronic check,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Fiber optic,No,Yes,No,174.2,71.7,37.0,797.0,43.97,18.5,No,No,41,12,8,48,992,75.6,19.5,5.0,16.2,8,3,1,255,437,47,68,9,0,1,1,4,Yes
48,64,M,33,29.03,50.67,One year,Electronic check,No,No,No,No,No,No,Yes,Yes,No,Yes,DSL,Yes,No,Yes,0.8,88.1,7.8,2807.0,7.73,3.34,No,Yes,37,9,10,20,1584,67.5,16.4,13.2,15.0,19,1,2,172,217,42,56,1,2,0,8,5,No
49,79,F,16,87.48,2580.09,Month-to-month,Credit card,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Fiber optic,Yes,No,No,4.2,103.9,7.2,1374.0,43.07,5.35,Yes,No,44,17,19,98,1903,46.6,11.8,1.8,15.0,7,3,2,737,469,178,42,4,0,1,1,2,Yes
50,68,F,45,28.79,281.92,Month-to-month,Bank transfer,No,No,No,No,Yes,No,Yes,No,No,Yes,DSL,Yes,No,Yes,93.2,126.4,166.3,383.0,16.47,1.26,No,Yes,38,11,42,22,875,60.5,5.5,2.3,19.7,27,2,2,83,328,188,11,8,4,2,3,10,Yes
51,61,F,42,124.05,1417.04,Month-to-month,Bank transfer,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Fiber optic,No,No,No,47.7,160.1,118.3,1298.0,18.41,15.91,No,Yes,0,6,57,75,733,9.4,1.3,14.6,6.6,14,4,0,225,352,41,77,8,0,2,1,5,No
52,72,F,44,50.38,3549.53,Month-to-month,Bank transfer,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,DSL,Yes,No,Yes,138.0,90.4,71.6,381.0,1.96,12.44,Yes,No,21,10,77,56,1885,88.4,1.4,1.5,13.2,12,0,2,874,342,153,63,9,3,3,0,9,Yes
53,69,M,2,90.2,360.31,Month-to-month,Electronic check,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,DSL,Yes,Yes,Yes,113.1,163.5,178.8,1508.0,16.34,6.3,Yes,No,10,9,25,63,143,54.4,12.6,12.0,17.3,27,1,0,327,226,103,50,0,3,4,9,1,Yes
54,74,F,55,134.41,4204.73,One year,Credit card,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Fiber optic,No,Yes,No,15.5,106.7,14.0,1684.0,44.42,3.28,Yes,No,45,2,37,28,2256,4.0,1.4,17.0,12.0,20,1,0,566,211,10,72,6,3,3,6,3,No
55,20,M,35,104.61,68.91,Two year,Bank transfer,No,No,Yes,No,Yes,No,No,Yes,No,No,DSL,Yes,No,Yes,32.5,67.7,196.1,1013.0,1.28,0.8,No,Yes,37,6,93,26,1122,92.0,19.9,8.2,16.0,16,2,2,608,352,24,59,9,4,0,4,4,Yes
56,54,F,42,89.28,1271.78,Month-to-month,Electronic check,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,77.6,131.6,123.3,215.0,20.32,3.33,Yes,Yes,36,3,35,5,699,48.9,4.5,1.9,8.9,29,0,1,529,162,39,70,9,1,1,2,9,No
57,68,F,34,62.16,3717.48,Month-to-month,Bank transfer,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,DSL,No,No,No,37.1,143.5,36.7,2831.0,1.57,9.07,No,No,25,7,98,20,113,86.9,14.5,14.6,12.2,8,4,1,653,365,24,79,2,3,3,7,2,Yes
58,24,F,30,63.29,1615.54,One year,Credit card,No,No,Yes,No,No,No,Yes,No,No,No,DSL,Yes,Yes,Yes,158.4,111.6,135.8,2320.0,18.55,4.94,No,Yes,26,7,54,70,2222,85.7,3.9,18.7,2.1,23,0,0,870,157,83,27,9,0,1,4,7,No
59,38,F,59,107.03,554.37,One year,Bank transfer,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DSL,No,Yes,Yes,83.2,11.3,152.7,2517.0,8.63,5.18,Yes,No,12,5,5,40,270,81.6,11.3,14.6,19.7,20,0,0,235,109,105,70,9,1,3,0,9,Yes
60,26,F,55,149.24,1833.16,Two year,Credit card,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,DSL,No,Yes,Yes,18.7,34.0,85.9,1101.0,12.61,17.51,Yes,Yes,6,12,2,79,62,6.1,2.5,12.0,16.2,29,1,0,909,54,118,13,0,0,1,8,10,Yes
61,56,M,13,106.04,1388.45,One year,Credit card,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,DSL,Yes,Yes,No,96.9,57.1,172.3,2282.0,43.88,10.3,No,No,7,11,64,4,1007,24.7,15.6,5.4,17.5,10,3,1,437,349,107,31,1,0,3,4,4,Yes
62,35,M,13,92.51,4221.42,Two year,Bank transfer,No,No,No,No,No,Yes,No,Yes,No,No,DSL,Yes,Yes,No,18.2,56.5,30.1,1456.0,21.8,14.59,Yes,Yes,45,2,63,14,2843,87.6,12.1,1.3,14.2,29,4,0,308,213,73,7,5,3,2,2,5,No
63,21,F,18,114.98,1601.07,Month-to-month,Bank transfer,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,DSL,Yes,Yes,No,25.8,134.7,55.8,603.0,13.69,0.71,Yes,No,22,5,57,20,1427,89.9,2.6,14.2,4.5,3,0,0,706,364,179,26,9,0,0,5,10,Yes
64,42,F,32,80.48,3955.22,Month-to-month,Credit card,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Fiber optic,Yes,Yes,No,47.9,3.7,18.7,373.0,29.47,7.3,No,No,25,18,57,57,2272,45.8,17.1,5.4,1.6,23,2,1,970,384,112,49,1,4,3,7,4,Yes
65,77,M,32,27.82,4464.77,Two year,Electronic check,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Fiber optic,No,No,No,171.9,151.1,42.2,1035.0,7.11,9.58,Yes,No,43,10,17,3,1982,44.0,11.4,17.3,17.4,24,1,2,300,14,130,58,1,1,2,1,7,Yes
66,31,F,35,93.1,2197.4,One year,Credit card,No,No,No,No,No,Yes,Yes,No,No,No,DSL,Yes,No,No,184.9,53.1,47.7,413.0,12.97,3.73,Yes,Yes,26,3,22,68,2208,17.5,18.5,9.9,8.5,6,3,1,470,152,38,56,3,3,4,2,8,Yes
67,67,F,59,144.49,4554.22,Two year,Bank transfer,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,DSL,Yes,No,No,165.3,62.0,183.5,2995.0,27.31,2.4,Yes,No,8,14,95,6,2428,96.8,18.4,11.1,6.0,19,3,2,156,19,90,2,2,3,3,6,8,Yes
68,75,M,39,42.79,1917.72,One year,Bank transfer,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,DSL,Yes,Yes,No,66.8,105.6,15.6,148.0,11.88,17.41,No,Yes,45,1,28,34,317,21.3,18.5,15.3,11.7,22,1,2,516,454,162,26,7,0,1,1,3,No
69,26,F,46,109.7,4822.19,Month-to-month,Electronic check,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Fiber optic,No,Yes,Yes,54.5,43.2,85.5,1323.0,33.96,18.79,Yes,No,37,14,22,35,2755,19.1,2.5,15.8,9.0,21,0,0,577,399,167,93,7,0,0,4,2,Yes
70,43,F,52,46.12,491.98,One year,Credit card,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,DSL,No,No,Yes,109.8,176.9,106.5,1356.0,24.57,1.58,Yes,No,46,16,35,14,2503,66.1,3.3,13.2,13.4,26,1,0,1015,51,21,33,5,2,2,8,6,No
71,70,M,29,89.66,3450.75,Two year,Credit card,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Fiber optic,No,No,Yes,144.4,17.1,179.7,902.0,38.6,6.98,No,No,12,1,69,91,1292,24.3,19.8,18.8,10.2,27,3,2,966,342,189,25,3,2,2,6,1,Yes
72,19,M,49,32.57,2494.38,Two year,Credit card,No,Yes,Yes,Yes,No,No,Yes,No,No,No,DSL,No,Yes,Yes,198.7,88.9,199.5,1714.0,47.41,19.17,No,Yes,6,6,80,1,2391,93.9,10.3,19.7,14.2,2,3,0,801,468,18,39,6,3,0,2,9,No
73,37,M,29,78.55,1968.86,Month-to-month,Bank transfer,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,DSL,No,No,No,26.3,169.9,150.7,450.0,5.79,1.66,No,Yes,10,15,81,56,1063,1.1,5.5,19.0,17.2,9,2,2,48,320,13,85,8,3,3,1,7,Yes
74,45,F,53,118.3,3181.92,One year,Credit card,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,DSL,Yes,No,Yes,9.9,123.2,194.2,2352.0,16.73,12.87,No,Yes,9,4,94,4,413,0.6,15.6,16.7,4.7,2,2,0,454,366,108,31,1,0,1,9,8,Yes
75,64,M,44,65.18,3534.09,One year,Electronic check,No,Yes,No,No,No,No,Yes,No,Yes,Yes,DSL,No,No,Yes,138.9,58.5,157.4,997.0,15.98,19.44,Yes,No,32,15,5,70,1245,50.5,6.0,14.4,7.3,0,3,1,965,83,177,40,5,4,4,8,7,No
76,77,M,57,106.44,71.6,One year,Bank transfer,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,DSL,No,No,Yes,166.4,84.2,192.6,1774.0,7.56,19.56,No,Yes,38,18,33,85,1304,48.8,14.8,13.6,9.3,13,2,2,87,366,189,1,6,4,3,8,5,Yes
77,24,M,16,123.41,876.42,Month-to-month,Bank transfer,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Fiber optic,No,Yes,Yes,169.3,141.3,141.5,2147.0,40.52,9.42,No,No,49,1,43,94,224,16.3,16.9,3.0,19.3,12,2,2,452,466,42,71,0,0,0,8,5,No
78,61,M,56,140.53,3579.58,One year,Credit card,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,DSL,Yes,No,Yes,135.7,194.7,16.0,2667.0,37.99,3.25,Yes,No,2,14,43,31,1480,49.5,15.9,6.2,7.9,4,2,0,873,325,54,6,5,2,3,9,7,Yes
79,78,M,44,50.5,3348.61,Two year,Electronic check,Yes,No,No,No,No,No,Yes,No,Yes,No,Fiber optic,Yes,No,No,190.8,178.6,80.4,2507.0,24.22,4.04,No,No,40,3,26,71,1177,41.2,6.2,1.1,8.2,7,3,1,95,485,167,18,7,2,3,2,7,No
80,25,M,47,71.91,4831.94,One year,Bank transfer,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Fiber optic,No,No,No,102.2,68.5,129.3,1825.0,26.89,17.79,No,No,28,1,99,40,2327,89.0,8.6,3.6,13.4,11,0,0,844,223,11,32,6,4,0,0,2,Yes
81,64,F,57,39.81,3817.14,Month-to-month,Bank transfer,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,DSL,Yes,No,Yes,182.8,199.6,70.1,1165.0,2.98,18.23,Yes,No,36,9,51,41,1376,0.9,8.9,9.3,9.0,5,0,1,931,128,192,1,1,3,0,8,2,Yes
82,52,F,10,149.02,4756.32,One year,Credit card,No,No,Yes,No,No,No,No,No,No,Yes,DSL,No,Yes,Yes,193.6,0.7,54.7,1510.0,27.78,12.16,No,Yes,44,4,41,74,2776,97.6,10.3,3.8,19.1,23,4,0,466,349,161,66,1,0,4,6,7,Yes
83,31,M,30,140.51,3527.58,One year,Credit card,No,No,Yes,No,No,No,Yes,Yes,No,Yes,DSL,Yes,No,Yes,169.4,5.5,115.5,2306.0,39.57,15.32,No,Yes,15,17,24,64,620,62.4,4.2,18.1,18.0,22,2,2,819,381,107,91,3,3,0,1,5,Yes
84,34,M,25,90.19,1525.36,Two year,Electronic check,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Fiber optic,Yes,No,Yes,62.0,164.8,186.7,2633.0,28.69,14.8,Yes,No,15,3,73,39,2620,15.2,9.6,16.3,10.8,1,0,1,264,15,82,77,4,2,0,5,2,Yes
